normalized_hand,hand_rank,hand_type
AsAhAd2s2h,412,Full House
AsAhKsKhKd,413,Full House
AsAhQsQhQd,414,Full House
AsAhJsJhJd,415,Full House
AsAhTsThTd,416,Full House
AsAh9s9h9d,417,Full House
AsAh8s8h8d,418,Full House
AsAh7s7h7d,419,Full House
AsAh6s6h6d,420,Full House
AsAh5s5h5d,421,Full House
AsAh4s4h4d,422,Full House
AsAh3s3h3d,423,Full House
AsAh2s2h2d,424,Full House
KsKhKdQsQh,425,Full House
KsKhKdJsJh,426,Full House
KsKhKdTsTh,427,Full House
KsKhKd9s9h,428,Full House
KsKhKd8s8h,429,Full House
KsKhKd7s7h,430,Full House
KsKhKd6s6h,431,Full House
KsKhKd5s5h,432,Full House
KsKhKd4s4h,433,Full House
KsKhKd3s3h,434,Full House
KsKhKd2s2h,435,Full House
KsKhQsQhQd,436,Full House
KsKhJsJhJd,437,Full House
KsKhTsThTd,438,Full House
KsKh9s9h9d,439,Full House
KsKh8s8h8d,440,Full House
KsKh7s7h7d,441,Full House
KsKh6s6h6d,442,Full House
KsKh5s5h5d,443,Full House
KsKh4s4h4d,444,Full House
KsKh3s3h3d,445,Full House
KsKh2s2h2d,446,Full House
QsQhQdJsJh,447,Full House
QsQhQdTsTh,448,Full House
QsQhQd9s9h,449,Full House
QsQhQd8s8h,450,Full House
QsQhQd7s7h,451,Full House
QsQhQd6s6h,452,Full House
QsQhQd5s5h,453,Full House
QsQhQd4s4h,454,Full House
QsQhQd3s3h,455,Full House
QsQhQd2s2h,456,Full House
QsQhJsJhJd,457,Full House
QsQhTsThTd,458,Full House
QsQh9s9h9d,459,Full House
QsQh8s8h8d,460,Full House
QsQh7s7h7d,461,Full House
QsQh6s6h6d,462,Full House
QsQh5s5h5d,463,Full House
QsQh4s4h4d,464,Full House
QsQh3s3h3d,465,Full House
QsQh2s2h2d,466,Full House
JsJhJdTsTh,467,Full House
JsJhJd9s9h,468,Full House
JsJhJd8s8h,469,Full House
JsJhJd7s7h,470,Full House
JsJhJd6s6h,471,Full House
JsJhJd5s5h,472,Full House
JsJhJd4s4h,473,Full House
JsJhJd3s3h,474,Full House
JsJhJd2s2h,475,Full House
JsJhTsThTd,476,Full House
JsJh9s9h9d,477,Full House
JsJh8s8h8d,478,Full House
JsJh7s7h7d,479,Full House
JsJh6s6h6d,480,Full House
JsJh5s5h5d,481,Full House
JsJh4s4h4d,482,Full House
JsJh3s3h3d,483,Full House
JsJh2s2h2d,484,Full House
TsThTd9s9h,485,Full House
TsThTd8s8h,486,Full House
TsThTd7s7h,487,Full House
TsThTd6s6h,488,Full House
TsThTd5s5h,489,Full House
TsThTd4s4h,490,Full House
TsThTd3s3h,491,Full House
TsThTd2s2h,492,Full House
TsTh9s9h9d,493,Full House
TsTh8s8h8d,494,Full House
TsTh7s7h7d,495,Full House
TsTh6s6h6d,496,Full House
TsTh5s5h5d,497,Full House
TsTh4s4h4d,498,Full House
TsTh3s3h3d,499,Full House
TsTh2s2h2d,500,Full House
9s9h9d8s8h,501,Full House
9s9h9d7s7h,502,Full House
9s9h9d6s6h,503,Full House
9s9h9d5s5h,504,Full House
9s9h9d4s4h,505,Full House
9s9h9d3s3h,506,Full House
9s9h9d2s2h,507,Full House
9s9h8s8h8d,508,Full House
9s9h7s7h7d,509,Full House
9s9h6s6h6d,510,Full House
9s9h5s5h5d,511,Full House
9s9h4s4h4d,512,Full House
9s9h3s3h3d,513,Full House
9s9h2s2h2d,514,Full House
8s8h8d7s7h,515,Full House
8s8h8d6s6h,516,Full House
8s8h8d5s5h,517,Full House
8s8h8d4s4h,518,Full House
8s8h8d3s3h,519,Full House
8s8h8d2s2h,520,Full House
8s8h7s7h7d,521,Full House
8s8h6s6h6d,522,Full House
8s8h5s5h5d,523,Full House
8s8h4s4h4d,524,Full House
8s8h3s3h3d,525,Full House
8s8h2s2h2d,526,Full House
7s7h7d6s6h,527,Full House
7s7h7d5s5h,528,Full House
7s7h7d4s4h,529,Full House
7s7h7d3s3h,530,Full House
7s7h7d2s2h,531,Full House
7s7h6s6h6d,532,Full House
7s7h5s5h5d,533,Full House
7s7h4s4h4d,534,Full House
7s7h3s3h3d,535,Full House
7s7h2s2h2d,536,Full House
6s6h6d5s5h,537,Full House
6s6h6d4s4h,538,Full House
6s6h6d3s3h,539,Full House
6s6h6d2s2h,540,Full House
6s6h5s5h5d,541,Full House
6s6h4s4h4d,542,Full House
6s6h3s3h3d,543,Full House
6s6h2s2h2d,544,Full House
5s5h5d4s4h,545,Full House
5s5h5d3s3h,546,Full House
5s5h5d2s2h,547,Full House
5s5h4s4h4d,548,Full House
5s5h3s3h3d,549,Full House
5s5h2s2h2d,550,Full House
4s4h4d3s3h,551,Full House
4s4h4d2s2h,552,Full House
4s4h3s3h3d,553,Full House
4s4h2s2h2d,554,Full House
3s3h3d2s2h,555,Full House
3s3h2s2h2d,556,Full House
AsKsQsJs9s,557,Flush
AsKsQsJs8s,558,Flush
AsKsQsJs7s,559,Flush
AsKsQsJs6s,560,Flush
AsKsQsJs5s,561,Flush
AsKsQsJs4s,562,Flush
AsKsQsJs3s,563,Flush
AsKsQsJs2s,564,Flush
AsKsQsTs9s,565,Flush
AsKsQsTs8s,566,Flush
AsKsQsTs7s,567,Flush
AsKsQsTs6s,568,Flush
AsKsQsTs5s,569,Flush
AsKsQsTs4s,570,Flush
AsKsQsTs3s,571,Flush
AsKsQsTs2s,572,Flush
AsKsQs9s8s,573,Flush
AsKsQs9s7s,574,Flush
AsKsQs9s6s,575,Flush
AsKsQs9s5s,576,Flush
AsKsQs9s4s,577,Flush
AsKsQs9s3s,578,Flush
AsKsQs9s2s,579,Flush
AsKsQs8s7s,580,Flush
AsKsQs8s6s,581,Flush
AsKsQs8s5s,582,Flush
AsKsQs8s4s,583,Flush
AsKsQs8s3s,584,Flush
AsKsQs8s2s,585,Flush
AsKsQs7s6s,586,Flush
AsKsQs7s5s,587,Flush
