rank,normalized_hand,win_rate,standard_deviation,confidence_interval,simulations
312,AsAhTh5d,0.662333,0.008634,0.016923,3000
313,AsAhJh4h,0.662333,0.008634,0.016923,3000
314,AsAhJs6d,0.662333,0.008634,0.016923,3000
315,AsAh8d6h,0.662000,0.008636,0.016927,3000
316,AsAh8s6d,0.662000,0.008636,0.016927,3000
317,AsAhTs9s,0.662000,0.008636,0.016927,3000
318,AsAh9d5s,0.662000,0.008636,0.016927,3000
319,AsAhQh8d,0.662000,0.008636,0.016927,3000
320,AsKsKh4h,0.661667,0.008638,0.016931,3000
321,AsAhJd9s,0.661667,0.008638,0.016931,3000
322,AsAhJh7d,0.661667,0.008638,0.016931,3000
323,KsKhQsQh,0.661667,0.008638,0.016931,3000
324,AsAh9d6h,0.661667,0.008638,0.016931,3000
325,AsAh4d2s,0.661333,0.008640,0.016935,3000
326,AsAhKd7h,0.661333,0.008640,0.016935,3000
327,AsAhKs5s,0.661333,0.008640,0.016935,3000
328,AsAhKs3d,0.661333,0.008640,0.016935,3000
329,AsAhTh3d,0.661333,0.008640,0.016935,3000
330,AsAhQh2h,0.661333,0.008640,0.016935,3000
331,AsAhKh6d,0.661000,0.008643,0.016939,3000
332,AsAhJh3h,0.661000,0.008643,0.016939,3000
333,AsAhKsQs,0.661000,0.008643,0.016939,3000
334,AsKsKh2h,0.660667,0.008645,0.016943,3000
335,AsAh8d3h,0.660667,0.008645,0.016943,3000
336,AsAh5d2s,0.660667,0.008645,0.016943,3000
337,AsAh6s3d,0.660667,0.008645,0.016943,3000
338,AsAh3h2d,0.660667,0.008645,0.016943,3000
339,AsAhQd4h,0.660333,0.008647,0.016947,3000
340,AsAhTs5d,0.660333,0.008647,0.016947,3000
341,AsAhKhQd,0.660000,0.008649,0.016951,3000
342,AsAh6h5h,0.660000,0.008649,0.016951,3000
343,AsAhQdTd,0.659667,0.008651,0.016955,3000
344,AsAh9h7h,0.659333,0.008653,0.016959,3000
345,AsAhKh7d,0.659333,0.008653,0.016959,3000
346,AsAhKd6h,0.659333,0.008653,0.016959,3000
347,AsAh5s3s,0.659333,0.008653,0.016959,3000
348,KsKh9s9h,0.659333,0.008653,0.016959,3000
349,AsAhQs4d,0.659000,0.008655,0.016963,3000
350,AsAh6d5d,0.659000,0.008655,0.016963,3000
351,AsAh6d4s,0.659000,0.008655,0.016963,3000
352,AsAhKhTh,0.659000,0.008655,0.016963,3000
353,AsAh9s3s,0.659000,0.008655,0.016963,3000
354,AsAhKd9h,0.659000,0.008655,0.016963,3000
355,AsAh5s4d,0.659000,0.008655,0.016963,3000
356,AsAhQd3s,0.659000,0.008655,0.016963,3000
357,AsAhTs6d,0.659000,0.008655,0.016963,3000
358,AsAhJs3s,0.659000,0.008655,0.016963,3000
359,AsAhQd9d,0.659000,0.008655,0.016963,3000
360,AsAhQsJd,0.658667,0.008657,0.016967,3000
361,AsAhTd8s,0.658667,0.008657,0.016967,3000
362,AsAh5d3s,0.658667,0.008657,0.016967,3000
363,AsAhQd2h,0.658667,0.008657,0.016967,3000
364,AsAh6s2h,0.658667,0.008657,0.016967,3000
365,AsAhQhTh,0.658667,0.008657,0.016967,3000
366,AsAhJs2d,0.658667,0.008657,0.016967,3000
367,AsAh7h4d,0.658333,0.008659,0.016971,3000
368,AsAhTd7h,0.658333,0.008659,0.016971,3000
369,AsAh5d4c,0.658333,0.008659,0.016971,3000
370,AsAh6d4h,0.658000,0.008661,0.016975,3000
371,AsAhJh2h,0.658000,0.008661,0.016975,3000
372,AsAhJd5d,0.658000,0.008661,0.016975,3000
373,AsAhKd5d,0.658000,0.008661,0.016975,3000
374,KsKh8s7h,0.658000,0.008661,0.016975,3000
375,AsAh6d3s,0.657667,0.008663,0.016979,3000
376,AsAhTd4s,0.657667,0.008663,0.016979,3000
377,AsAhQd5d,0.657667,0.008663,0.016979,3000
378,AsAhTs5s,0.657667,0.008663,0.016979,3000
379,AsAhQd7s,0.657667,0.008663,0.016979,3000
380,AsAhJd5s,0.657333,0.008665,0.016983,3000
381,AsAhQd5s,0.657333,0.008665,0.016983,3000
382,AsAh7s5s,0.657333,0.008665,0.016983,3000
383,AsAhQd7d,0.657333,0.008665,0.016983,3000
384,AsAhQs2s,0.656667,0.008669,0.016991,3000
385,AsAhTd6s,0.656667,0.008669,0.016991,3000
386,AsAh5h3h,0.656667,0.008669,0.016991,3000
387,AsAhKd5s,0.656667,0.008669,0.016991,3000
388,AsAh8d4h,0.656333,0.008671,0.016995,3000
389,AsKsKhTh,0.656333,0.008671,0.016995,3000
390,AsAh4h2h,0.656333,0.008671,0.016995,3000
391,AsAh5s2d,0.656333,0.008671,0.016995,3000
392,AsAhJh4d,0.656333,0.008671,0.016995,3000
393,AsAhJh8h,0.656333,0.008671,0.016995,3000
394,AsAh9d6d,0.656333,0.008671,0.016995,3000
395,AsAh4s2d,0.656333,0.008671,0.016995,3000
396,AsAh9h6d,0.656000,0.008673,0.016999,3000
397,AsAh4h3d,0.656000,0.008673,0.016999,3000
398,AsAh4d3h,0.656000,0.008673,0.016999,3000
399,AsAh5d2d,0.656000,0.008673,0.016999,3000
400,AsAh9d5d,0.656000,0.008673,0.016999,3000
401,AsAhJs9s,0.656000,0.008673,0.016999,3000
402,AsAhQh5h,0.656000,0.008673,0.016999,3000
403,AsAhQs8s,0.655667,0.008675,0.017003,3000
404,AsAhQsJs,0.655667,0.008675,0.017003,3000
405,AsAhQd2s,0.655667,0.008675,0.017003,3000
406,AsAhQd3d,0.655667,0.008675,0.017003,3000
407,AsAhJs4d,0.655667,0.008675,0.017003,3000
408,AsAhKd6d,0.655333,0.008677,0.017007,3000
409,AsAh9d3d,0.655333,0.008677,0.017007,3000
410,AsAh7h6h,0.655000,0.008679,0.017011,3000
411,AsAh7d3h,0.655000,0.008679,0.017011,3000
412,AsAhJd2h,0.655000,0.008679,0.017011,3000
413,AsAhKdJd,0.655000,0.008679,0.017011,3000
414,AsAhKdJs,0.655000,0.008679,0.017011,3000
415,AsAh9s6s,0.655000,0.008679,0.017011,3000
416,AsAhQd5h,0.655000,0.008679,0.017011,3000
417,AsAhQh9d,0.655000,0.008679,0.017011,3000
418,AsAhQs5d,0.654667,0.008681,0.017015,3000
419,AsAh7d3s,0.654667,0.008681,0.017015,3000
420,AsAh4d3d,0.654667,0.008681,0.017015,3000
421,AsAhJd9d,0.654667,0.008681,0.017015,3000
422,AsAhJd8d,0.654667,0.008681,0.017015,3000
423,AsAhQh2d,0.654667,0.008681,0.017015,3000
424,AsAh8d5d,0.654333,0.008683,0.017019,3000
425,AsAhKh2h,0.654333,0.008683,0.017019,3000
426,AsAh6h2d,0.654333,0.008683,0.017019,3000
427,AsAhKd2d,0.654333,0.008683,0.017019,3000
428,AsAhQd6h,0.654333,0.008683,0.017019,3000
429,AsAhJs8s,0.654333,0.008683,0.017019,3000
430,AsAhKsTs,0.654333,0.008683,0.017019,3000
431,AsAhQs2d,0.654000,0.008685,0.017022,3000
432,KsKhTs9h,0.654000,0.008685,0.017022,3000
433,AsAhKh8d,0.654000,0.008685,0.017022,3000
434,AsAhKdTs,0.654000,0.008685,0.017022,3000
435,AsAh5d2h,0.654000,0.008685,0.017022,3000
436,AsAhKd7d,0.654000,0.008685,0.017022,3000
437,AsAh8h5h,0.653667,0.008687,0.017026,3000
438,AsAh8s4d,0.653667,0.008687,0.017026,3000
439,AsAh3d2s,0.653667,0.008687,0.017026,3000
440,AsAhKd9s,0.653667,0.008687,0.017026,3000
441,AsAhJs7d,0.653667,0.008687,0.017026,3000
442,AsAh9h2d,0.653333,0.008689,0.017030,3000
443,AsAh9h8h,0.653333,0.008689,0.017030,3000
444,AsAhJd4s,0.653333,0.008689,0.017030,3000
445,AsAhJh5h,0.653333,0.008689,0.017030,3000
446,AsAh8d6d,0.653000,0.008691,0.017034,3000
447,AsAhTd5d,0.653000,0.008691,0.017034,3000
448,AsAhJd5h,0.653000,0.008691,0.017034,3000
449,AsAhJd7h,0.653000,0.008691,0.017034,3000
450,AsAh7s3d,0.653000,0.008691,0.017034,3000
451,AsAhTs3d,0.653000,0.008691,0.017034,3000
452,AsAhJs9d,0.653000,0.008691,0.017034,3000
453,AsAhQh6d,0.653000,0.008691,0.017034,3000
454,AsAh8s3d,0.652667,0.008693,0.017038,3000
455,AsAhTh4h,0.652667,0.008693,0.017038,3000
456,AsAhTs6s,0.652667,0.008693,0.017038,3000
457,AsAhQd7h,0.652667,0.008693,0.017038,3000
458,AsAhTd3h,0.652333,0.008695,0.017042,3000
459,AsAhKd4s,0.652333,0.008695,0.017042,3000
460,AsAhQs7d,0.652000,0.008697,0.017045,3000
461,AsAhKd6s,0.652000,0.008697,0.017045,3000
462,AsAhKs3s,0.652000,0.008697,0.017045,3000
463,AsAhQh8h,0.652000,0.008697,0.017045,3000
464,AsAhKh2d,0.651667,0.008699,0.017049,3000
465,AsAh6h4h,0.651667,0.008699,0.017049,3000
466,AsAh5s3d,0.651667,0.008699,0.017049,3000
467,KsKh9s7h,0.651667,0.008699,0.017049,3000
468,AsAh6d3h,0.651333,0.008701,0.017053,3000
469,AsAh8s6s,0.651333,0.008701,0.017053,3000
470,AsAh9s2s,0.651333,0.008701,0.017053,3000
471,AsAhQs4s,0.651000,0.008702,0.017057,3000
472,AsAh7d4s,0.651000,0.008702,0.017057,3000
473,AsAh8s7s,0.651000,0.008702,0.017057,3000
474,AsAhKhJd,0.651000,0.008702,0.017057,3000
475,AsAh9s2d,0.651000,0.008702,0.017057,3000
476,AsAhKs8d,0.651000,0.008702,0.017057,3000
477,AsAhTs4s,0.651000,0.008702,0.017057,3000
478,AsAhJd6h,0.650667,0.008704,0.017061,3000
